hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,6.66,31.09,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-1.81,-0.0,-8.52,23.25,0.0,6611.92,0.0,7.82,0.0,28.69
1,6.23,29.11,0.0,1.3,0.0,0.0,3.09,0.0,0.0,-0.0,-0.0,-8.52,24.97,0.0,6616.95,0.0,7.85,0.0,31.21
2,5.9,27.25,0.0,1.11,0.0,0.0,1.97,0.0,0.0,-0.0,-0.0,-8.52,21.54,0.0,6621.97,0.0,7.81,0.0,27.7
3,5.89,25.63,0.0,1.12,0.0,0.0,3.87,0.0,0.0,-0.0,-0.0,-8.52,19.35,0.0,6627.0,0.0,7.81,0.0,27.99
4,6.18,24.44,0.0,1.21,0.0,0.0,4.85,0.0,0.0,-0.0,-0.0,-8.52,15.05,0.0,6632.03,0.0,7.82,0.0,28.16
5,6.65,23.94,0.0,1.25,0.0,0.0,4.7,0.0,0.0,-0.0,-0.0,-8.52,9.66,0.0,6637.05,0.0,7.81,0.0,28.02
6,7.62,24.7,0.0,1.21,0.0,0.0,3.99,0.0,0.0,-0.0,-0.0,-8.52,4.43,0.0,6642.08,0.0,7.83,0.0,29.0
7,8.87,26.99,1.87,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6647.11,0.0,7.81,0.0,27.78
8,10.05,28.94,11.74,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6652.13,0.0,7.85,0.0,31.14
9,10.74,28.96,22.25,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6657.16,0.0,7.92,0.0,37.23
10,11.53,29.71,30.5,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6662.19,0.0,7.95,0.0,40.06
11,12.84,33.43,34.5,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6667.21,0.0,7.99,0.0,43.68
12,13.92,38.93,32.84,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6672.24,0.0,8.02,0.0,46.73
13,14.83,44.81,26.63,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6677.27,0.0,8.0,0.0,44.52
14,15.46,51.56,17.44,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6682.29,0.0,0.0,7.91,37.07
15,15.92,58.49,5.67,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6687.32,0.0,0.0,7.87,33.46
16,16.19,63.93,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6692.35,0.0,0.0,7.85,31.38
17,16.34,68.61,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6697.37,0.0,0.0,7.86,32.25
18,16.55,72.73,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,6702.4,0.0,0.0,7.88,34.03
19,16.56,74.21,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,0.0,0.0,6707.43,0.0,0.0,7.91,37.01
20,16.45,74.8,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,8.84,0.0,6712.45,0.0,0.0,7.95,40.36
21,16.31,75.61,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,17.67,0.0,6717.48,0.0,0.0,7.92,37.94
22,16.13,74.81,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,26.51,0.0,6722.51,0.0,0.0,7.9,35.63
23,15.74,72.74,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,35.34,0.0,6727.54,0.0,0.0,7.85,31.3
24,15.43,70.59,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,44.18,0.0,6732.56,0.0,0.0,7.86,32.15
25,15.58,68.5,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,53.01,0.0,6737.59,0.0,0.0,7.89,34.47
26,15.54,65.84,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,61.85,0.0,6742.62,0.0,0.0,7.86,31.91
27,15.42,62.69,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,70.68,0.0,6747.64,0.0,0.0,7.85,31.55
28,15.37,60.06,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,79.52,0.0,6752.67,0.0,0.0,7.85,31.29
29,15.29,57.22,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,88.35,0.0,6757.7,0.0,0.0,7.84,30.09
30,15.11,53.64,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-2.22,-0.0,-8.52,97.19,0.0,6762.72,0.0,7.85,0.0,31.4
31,14.91,50.57,1.67,1.18,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,99.3,0.0,6767.75,0.0,7.89,0.0,35.17
32,14.64,48.55,11.92,1.23,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,108.13,0.0,6772.78,0.0,7.9,0.0,35.83
33,14.18,46.26,24.25,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,108.13,0.0,6777.8,0.0,0.0,7.94,39.43
34,13.88,47.36,33.29,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,116.97,0.0,6782.83,0.0,0.0,8.07,51.43
35,14.31,57.34,37.76,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,125.8,0.0,6787.86,0.0,0.0,8.12,55.94
36,14.48,63.21,37.77,1.58,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,134.64,0.0,6792.88,0.0,0.0,8.16,59.58
37,14.5,62.95,32.28,1.62,0.0,0.0,0.0,0.0,0.0,-9.3,-0.1,-8.52,143.47,0.0,6797.91,0.0,0.0,8.14,57.83
38,14.29,57.92,20.95,1.46,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,152.31,0.09,6802.94,0.0,8.1,0.0,54.27
39,13.99,54.66,6.89,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,152.31,0.09,6807.96,0.0,8.07,0.0,50.85
