hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,7.24,19.19,0.0,1.27,0.0,0.0,9.3,0.0,0.0,-0.0,-0.0,-8.31,99.44,0.0,6529.51,0.0,7.82,0.0,28.69
1,7.38,19.61,0.0,1.3,0.0,0.0,9.3,0.0,0.0,-0.0,-0.0,-6.38,89.11,0.0,6534.42,0.0,7.85,0.0,31.21
2,7.49,19.92,0.0,1.11,0.0,0.0,7.7,0.0,0.0,-0.0,-0.0,-8.52,78.78,0.0,6538.18,0.0,7.81,0.0,27.7
3,7.74,20.46,0.0,1.12,0.0,0.0,7.18,0.0,0.0,-0.0,-0.0,-8.52,70.22,0.0,6543.21,0.0,7.81,0.0,27.99
4,7.98,21.47,0.0,1.21,0.0,0.0,6.02,0.0,0.0,-0.0,-0.0,-8.52,62.24,0.0,6548.23,0.0,7.82,0.0,28.16
5,8.17,22.56,0.0,1.25,0.0,0.0,4.57,0.0,0.0,-0.0,-0.0,-8.52,55.55,0.0,6553.26,0.0,7.81,0.0,28.02
6,8.4,23.71,0.0,1.21,0.0,0.0,4.2,0.0,0.0,-0.0,-0.0,-8.52,50.48,0.0,6558.29,0.0,7.83,0.0,29.0
7,8.76,25.35,2.84,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,45.82,0.0,6563.31,0.0,7.81,0.0,27.78
8,9.24,26.57,22.91,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,45.82,0.0,6568.34,0.0,7.85,0.0,31.14
9,9.54,27.28,45.23,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,45.82,0.0,6573.37,0.0,0.0,7.92,37.23
10,9.67,29.05,58.18,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,54.65,0.0,6578.39,0.0,0.0,7.95,40.06
11,9.6,29.92,60.92,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,63.49,0.0,6583.42,0.0,0.0,7.99,43.68
12,9.41,30.35,57.32,1.29,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-8.52,72.32,0.0,6588.45,0.0,0.0,8.02,46.73
13,9.3,29.88,49.41,1.36,0.0,0.0,0.0,0.0,0.0,-9.3,-25.57,-8.52,81.16,0.0,6593.47,0.0,0.0,8.0,44.52
