hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,7.8,19.64,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.02,180.0,92.32,12477.42,0.0,7.82,0.0,28.69
1,7.7,20.67,0.0,1.3,0.0,0.0,1.55,0.0,0.0,-0.0,-0.0,-0.0,180.0,92.32,12477.42,0.0,7.85,0.0,31.21
2,7.53,21.28,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.22,178.28,92.32,12477.42,0.0,7.81,0.0,27.7
3,7.56,22.12,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.81,178.28,92.32,12478.73,0.0,7.81,0.0,27.99
4,7.67,22.92,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.64,178.28,92.32,12480.39,0.0,7.82,0.0,28.16
5,7.66,23.45,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.34,178.28,92.32,12482.54,0.0,7.81,0.0,28.02
6,7.39,23.1,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.7,178.28,92.32,12485.1,0.0,7.83,0.0,29.0
7,6.94,21.94,1.36,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.64,178.28,92.32,12486.69,0.0,7.81,0.0,27.78
8,6.23,19.66,9.78,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-5.72,178.28,92.32,12488.84,0.0,7.85,0.0,31.14
9,4.98,15.41,19.07,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.53,178.28,92.32,12492.22,0.0,7.92,0.0,37.23
10,3.8,12.02,27.56,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.7,178.28,92.32,12494.3,0.0,7.95,0.0,40.06
11,3.09,10.48,32.03,1.38,0.0,0.0,0.0,0.0,0.0,-1.81,-0.0,-1.5,178.28,92.32,12497.07,0.0,7.99,0.0,43.68
12,2.6,9.49,30.33,1.29,0.0,0.0,3.03,0.0,0.0,-0.0,-0.0,-0.0,180.0,92.32,12497.95,0.0,8.02,0.0,46.73
13,2.24,8.68,22.64,1.36,0.0,0.0,0.0,0.0,9.6,-0.0,-0.0,-0.0,176.63,92.32,12497.95,0.0,8.0,0.0,44.52
