hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,16.73,73.15,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10486.36,0.0,0.0,7.82,28.69
1,16.71,72.93,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10491.39,0.0,0.0,7.85,31.21
2,16.68,73.14,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10496.42,0.0,0.0,7.81,27.7
3,16.69,72.84,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10501.44,0.0,0.0,7.81,27.99
4,16.63,73.09,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10506.47,0.0,0.0,7.82,28.16
5,16.53,73.15,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10511.5,0.0,0.0,7.81,28.02
6,16.5,72.55,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10516.52,0.0,0.0,7.83,29.0
7,16.35,69.9,0.72,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10521.55,0.0,0.0,7.81,27.78
8,16.2,68.68,5.26,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10526.58,0.0,0.0,7.85,31.14
9,16.12,67.32,10.82,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10531.6,0.0,0.0,7.92,37.23
10,15.92,67.68,16.99,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10536.63,0.0,0.0,7.95,40.06
11,15.87,68.36,19.17,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10541.66,0.0,0.0,7.99,43.68
12,15.76,68.09,17.42,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10546.68,0.0,0.0,8.02,46.73
13,15.72,67.25,13.7,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10551.71,0.0,0.0,8.0,44.52
14,15.73,66.97,9.18,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10556.74,0.0,0.0,7.91,37.07
15,15.75,67.27,3.86,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10561.76,0.0,0.0,7.87,33.46
16,15.88,68.17,0.04,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10566.79,0.0,0.0,7.85,31.38
17,16.04,68.29,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10571.82,0.0,0.0,7.86,32.25
18,16.23,68.23,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10576.84,0.0,0.0,7.88,34.03
19,16.34,68.31,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10581.87,0.0,0.0,7.91,37.01
20,16.4,67.64,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10586.9,0.0,0.0,7.95,40.36
21,16.38,67.94,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10591.92,0.0,0.0,7.92,37.94
22,16.39,69.83,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10596.95,0.0,0.0,7.9,35.63
23,16.38,70.29,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10601.98,0.0,0.0,7.85,31.3
24,16.38,70.62,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10607.0,0.0,0.0,7.86,32.15
25,16.33,70.88,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10612.03,0.0,0.0,7.89,34.47
26,16.22,70.39,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10617.06,0.0,0.0,7.86,31.91
27,16.03,70.02,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10622.09,0.0,0.0,7.85,31.55
28,15.96,68.55,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10627.11,0.0,0.0,7.85,31.29
29,16.03,68.62,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10632.14,0.0,0.0,7.84,30.09
30,16.04,70.07,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10637.17,0.0,0.0,7.85,31.4
31,16.12,70.4,0.36,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10642.19,0.0,0.0,7.89,35.17
32,16.38,71.01,11.06,1.23,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10647.22,0.0,0.0,7.9,35.83
33,16.57,70.32,25.86,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10652.25,0.0,0.0,7.94,39.43
34,16.66,71.42,34.78,1.43,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10657.27,0.0,0.0,8.07,51.43
35,16.68,74.93,37.68,1.5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10662.3,0.0,0.0,8.12,55.94
36,16.68,77.34,36.08,1.58,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10667.33,0.0,0.0,8.16,59.58
37,16.66,77.73,30.35,1.62,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10672.35,0.0,0.0,8.14,57.83
38,16.64,77.7,18.73,1.46,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10677.38,0.0,0.0,8.1,54.27
39,16.66,78.18,5.19,1.43,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10682.41,0.0,0.0,8.07,50.85
40,16.68,78.78,0.01,1.59,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10687.43,0.0,0.0,7.95,40.21
41,16.67,78.7,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10692.46,0.0,0.0,7.95,40.58
42,16.62,77.88,0.0,2.24,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10697.49,0.0,0.0,8.01,45.96
43,16.54,76.56,0.0,2.49,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10702.51,0.0,0.0,8.05,49.29
44,16.44,75.19,0.0,2.43,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10707.54,0.0,0.0,7.99,43.87
45,16.32,74.8,0.0,2.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10712.57,0.0,0.0,7.98,43.17
46,16.27,74.06,0.0,1.93,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.52,0.0,0.0,10717.59,0.0,0.0,7.99,44.28
